datestr,daten,SP500
2012-04-02,02apr2012,1419.04
2012-04-03,03apr2012,1413.38
2012-04-04,04apr2012,1398.96
2012-04-05,05apr2012,1398.08
2012-04-06,06apr2012,
2012-04-09,09apr2012,1382.2
2012-04-10,10apr2012,1358.59
2012-04-11,11apr2012,1368.71
2012-04-12,12apr2012,1387.5699
2012-04-13,13apr2012,1370.26
2012-04-16,16apr2012,1369.5699
2012-04-17,17apr2012,1390.78
2012-04-18,18apr2012,1385.14
2012-04-19,19apr2012,1376.92
2012-04-20,20apr2012,1378.53
2012-04-23,23apr2012,1366.9399
2012-04-24,24apr2012,1371.97
2012-04-25,25apr2012,1390.6899
2012-04-26,26apr2012,1399.98
2012-04-27,27apr2012,1403.36
2012-04-30,30apr2012,1397.91
2012-05-01,01may2012,1405.8199
2012-05-02,02may2012,1402.3101
2012-05-03,03may2012,1391.5699
2012-05-04,04may2012,1369.1
2012-05-07,07may2012,1369.58
2012-05-08,08may2012,1363.72
2012-05-09,09may2012,1354.58
2012-05-10,10may2012,1357.99
2012-05-11,11may2012,1353.39
2012-05-14,14may2012,1338.35
2012-05-15,15may2012,1330.66
2012-05-16,16may2012,1324.8
2012-05-17,17may2012,1304.86
2012-05-18,18may2012,1295.22
2012-05-21,21may2012,1315.99
2012-05-22,22may2012,1316.63
2012-05-23,23may2012,1318.86
2012-05-24,24may2012,1320.6801
2012-05-25,25may2012,1317.8199
2012-05-28,28may2012,
2012-05-29,29may2012,1332.42
2012-05-30,30may2012,1313.3199
2012-05-31,31may2012,1310.33
2012-06-01,01jun2012,1278.04
2012-06-04,04jun2012,1278.1801
2012-06-05,05jun2012,1285.5
2012-06-06,06jun2012,1315.13
2012-06-07,07jun2012,1314.99
2012-06-08,08jun2012,1325.66
2012-06-11,11jun2012,1308.9301
2012-06-12,12jun2012,1324.1801
2012-06-13,13jun2012,1314.88
2012-06-14,14jun2012,1329.1
2012-06-15,15jun2012,1342.84
2012-06-18,18jun2012,1344.78
2012-06-19,19jun2012,1357.98
2012-06-20,20jun2012,1355.6899
2012-06-21,21jun2012,1325.51
2012-06-22,22jun2012,1335.02
2012-06-25,25jun2012,1313.72
2012-06-26,26jun2012,1319.99
2012-06-27,27jun2012,1331.85
2012-06-28,28jun2012,1329.04
2012-06-29,29jun2012,1362.16
2012-07-02,02jul2012,1365.51
2012-07-03,03jul2012,1374.02
2012-07-04,04jul2012,
2012-07-05,05jul2012,1367.58
2012-07-06,06jul2012,1354.6801
2012-07-09,09jul2012,1352.46
2012-07-10,10jul2012,1341.47
2012-07-11,11jul2012,1341.45
2012-07-12,12jul2012,1334.76
2012-07-13,13jul2012,1356.78
2012-07-16,16jul2012,1353.64
2012-07-17,17jul2012,1363.67
2012-07-18,18jul2012,1372.78
2012-07-19,19jul2012,1376.51
2012-07-20,20jul2012,1362.66
2012-07-23,23jul2012,1350.52
2012-07-24,24jul2012,1338.3101
2012-07-25,25jul2012,1337.89
2012-07-26,26jul2012,1360.02
2012-07-27,27jul2012,1385.97
2012-07-30,30jul2012,1385.3
2012-07-31,31jul2012,1379.3199
2012-08-01,01aug2012,1375.14
2012-08-02,02aug2012,1365
2012-08-03,03aug2012,1390.99
2012-08-06,06aug2012,1394.23
2012-08-07,07aug2012,1401.35
2012-08-08,08aug2012,1402.22
2012-08-09,09aug2012,1402.8
2012-08-10,10aug2012,1405.87
2012-08-13,13aug2012,1404.11
2012-08-14,14aug2012,1403.9301
2012-08-15,15aug2012,1405.53
2012-08-16,16aug2012,1415.51
2012-08-17,17aug2012,1418.16
2012-08-20,20aug2012,1418.13
2012-08-21,21aug2012,1413.17
2012-08-22,22aug2012,1413.49
2012-08-23,23aug2012,1402.08
2012-08-24,24aug2012,1411.13
2012-08-27,27aug2012,1410.4399
2012-08-28,28aug2012,1409.3
2012-08-29,29aug2012,1410.49
2012-08-30,30aug2012,1399.48
2012-08-31,31aug2012,1406.58
2012-09-03,03sep2012,
2012-09-04,04sep2012,1404.9399
2012-09-05,05sep2012,1403.4399
2012-09-06,06sep2012,1432.12
2012-09-07,07sep2012,1437.92
2012-09-10,10sep2012,1429.08
2012-09-11,11sep2012,1433.5601
2012-09-12,12sep2012,1436.5601
2012-09-13,13sep2012,1459.99
2012-09-14,14sep2012,1465.77
2012-09-17,17sep2012,1461.1899
2012-09-18,18sep2012,1459.3199
2012-09-19,19sep2012,1461.05
2012-09-20,20sep2012,1460.26
2012-09-21,21sep2012,1460.15
2012-09-24,24sep2012,1456.89
2012-09-25,25sep2012,1441.59
2012-09-26,26sep2012,1433.3199
2012-09-27,27sep2012,1447.15
2012-09-28,28sep2012,1440.67
2012-10-01,01oct2012,1444.49
2012-10-02,02oct2012,1445.75
2012-10-03,03oct2012,1450.99
2012-10-04,04oct2012,1461.4
2012-10-05,05oct2012,1460.9301
2012-10-08,08oct2012,1455.88
2012-10-09,09oct2012,1441.48
2012-10-10,10oct2012,1432.5601
2012-10-11,11oct2012,1432.84
2012-10-12,12oct2012,1428.59
2012-10-15,15oct2012,1440.13
2012-10-16,16oct2012,1454.92
2012-10-17,17oct2012,1460.91
2012-10-18,18oct2012,1457.34
2012-10-19,19oct2012,1433.1899
2012-10-22,22oct2012,1433.8199
2012-10-23,23oct2012,1413.11
2012-10-24,24oct2012,1408.75
2012-10-25,25oct2012,1412.97
2012-10-26,26oct2012,1411.9399
2012-10-29,29oct2012,
2012-10-30,30oct2012,
2012-10-31,31oct2012,1412.16
2012-11-01,01nov2012,1427.59
2012-11-02,02nov2012,1414.2
2012-11-05,05nov2012,1417.26
2012-11-06,06nov2012,1428.39
2012-11-07,07nov2012,1394.53
2012-11-08,08nov2012,1377.51
2012-11-09,09nov2012,1379.85
2012-11-12,12nov2012,1380.03
2012-11-13,13nov2012,1374.53
2012-11-14,14nov2012,1355.49
2012-11-15,15nov2012,1353.33
2012-11-16,16nov2012,1359.88
2012-11-19,19nov2012,1386.89
2012-11-20,20nov2012,1387.8101
2012-11-21,21nov2012,1391.03
2012-11-22,22nov2012,
2012-11-23,23nov2012,1409.15
2012-11-26,26nov2012,1406.29
2012-11-27,27nov2012,1398.9399
2012-11-28,28nov2012,1409.9301
2012-11-29,29nov2012,1415.95
2012-11-30,30nov2012,1416.1801
2012-12-03,03dec2012,1409.46
2012-12-04,04dec2012,1407.05
2012-12-05,05dec2012,1409.28
2012-12-06,06dec2012,1413.9399
2012-12-07,07dec2012,1418.0699
2012-12-10,10dec2012,1418.55
2012-12-11,11dec2012,1427.84
2012-12-12,12dec2012,1428.48
2012-12-13,13dec2012,1419.45
2012-12-14,14dec2012,1413.58
2012-12-17,17dec2012,1430.36
2012-12-18,18dec2012,1446.79
2012-12-19,19dec2012,1435.8101
2012-12-20,20dec2012,1443.6899
2012-12-21,21dec2012,1430.15
2012-12-24,24dec2012,1426.66
2012-12-25,25dec2012,
2012-12-26,26dec2012,1419.83
2012-12-27,27dec2012,1418.1
2012-12-28,28dec2012,1402.4301
2012-12-31,31dec2012,1426.1899
2013-01-01,01jan2013,
2013-01-02,02jan2013,1462.42
2013-01-03,03jan2013,1459.37
2013-01-04,04jan2013,1466.47
2013-01-07,07jan2013,1461.89
2013-01-08,08jan2013,1457.15
2013-01-09,09jan2013,1461.02
2013-01-10,10jan2013,1472.12
2013-01-11,11jan2013,1472.05
2013-01-14,14jan2013,1470.6801
2013-01-15,15jan2013,1472.34
2013-01-16,16jan2013,1472.63
2013-01-17,17jan2013,1480.9399
2013-01-18,18jan2013,1485.98
2013-01-21,21jan2013,
2013-01-22,22jan2013,1492.5601
2013-01-23,23jan2013,1494.8101
2013-01-24,24jan2013,1494.8199
2013-01-25,25jan2013,1502.96
2013-01-28,28jan2013,1500.1801
2013-01-29,29jan2013,1507.84
2013-01-30,30jan2013,1501.96
2013-01-31,31jan2013,1498.11
2013-02-01,01feb2013,1513.17
2013-02-04,04feb2013,1495.71
2013-02-05,05feb2013,1511.29
2013-02-06,06feb2013,1512.12
2013-02-07,07feb2013,1509.39
2013-02-08,08feb2013,1517.9301
2013-02-11,11feb2013,1517.01
2013-02-12,12feb2013,1519.4301
2013-02-13,13feb2013,1520.33
2013-02-14,14feb2013,1521.38
2013-02-15,15feb2013,1519.79
2013-02-18,18feb2013,
2013-02-19,19feb2013,1530.9399
2013-02-20,20feb2013,1511.95
2013-02-21,21feb2013,1502.42
2013-02-22,22feb2013,1515.6
2013-02-25,25feb2013,1487.85
2013-02-26,26feb2013,1496.9399
2013-02-27,27feb2013,1515.99
2013-02-28,28feb2013,1514.6801
2013-03-01,01mar2013,1518.2
2013-03-04,04mar2013,1525.2
2013-03-05,05mar2013,1539.79
2013-03-06,06mar2013,1541.46
2013-03-07,07mar2013,1544.26
2013-03-08,08mar2013,1551.1801
2013-03-11,11mar2013,1556.22
2013-03-12,12mar2013,1552.48
2013-03-13,13mar2013,1554.52
2013-03-14,14mar2013,1563.23
2013-03-15,15mar2013,1560.7
2013-03-18,18mar2013,1552.1
2013-03-19,19mar2013,1548.34
2013-03-20,20mar2013,1558.71
2013-03-21,21mar2013,1545.8
2013-03-22,22mar2013,1556.89
2013-03-25,25mar2013,1551.6899
2013-03-26,26mar2013,1563.77
2013-03-27,27mar2013,1562.85
2013-03-28,28mar2013,1569.1899
2013-03-29,29mar2013,
2013-04-01,01apr2013,1562.17
2013-04-02,02apr2013,1570.25
2013-04-03,03apr2013,1553.6899
2013-04-04,04apr2013,1559.98
2013-04-05,05apr2013,1553.28
2013-04-08,08apr2013,1563.0699
2013-04-09,09apr2013,1568.61
2013-04-10,10apr2013,1587.73
2013-04-11,11apr2013,1593.37
2013-04-12,12apr2013,1588.85
2013-04-15,15apr2013,1552.36
2013-04-16,16apr2013,1574.5699
2013-04-17,17apr2013,1552.01
2013-04-18,18apr2013,1541.61
2013-04-19,19apr2013,1555.25
2013-04-22,22apr2013,1562.5
2013-04-23,23apr2013,1578.78
2013-04-24,24apr2013,1578.79
2013-04-25,25apr2013,1585.16
2013-04-26,26apr2013,1582.24
2013-04-29,29apr2013,1593.61
2013-04-30,30apr2013,1597.5699
2013-05-01,01may2013,1582.7
2013-05-02,02may2013,1597.59
2013-05-03,03may2013,1614.42
2013-05-06,06may2013,1617.5
2013-05-07,07may2013,1625.96
2013-05-08,08may2013,1632.6899
2013-05-09,09may2013,1626.67
2013-05-10,10may2013,1633.7
2013-05-13,13may2013,1633.77
2013-05-14,14may2013,1650.34
2013-05-15,15may2013,1658.78
2013-05-16,16may2013,1650.47
2013-05-17,17may2013,1667.47
2013-05-20,20may2013,1666.29
2013-05-21,21may2013,1669.16
2013-05-22,22may2013,1655.35
2013-05-23,23may2013,1650.51
2013-05-24,24may2013,1649.6
2013-05-27,27may2013,
2013-05-28,28may2013,1660.0601
2013-05-29,29may2013,1648.36
2013-05-30,30may2013,1654.41
2013-05-31,31may2013,1630.74
2013-06-03,03jun2013,1640.42
2013-06-04,04jun2013,1631.38
2013-06-05,05jun2013,1608.9
2013-06-06,06jun2013,1622.5601
2013-06-07,07jun2013,1643.38
2013-06-10,10jun2013,1642.8101
2013-06-11,11jun2013,1626.13
2013-06-12,12jun2013,1612.52
2013-06-13,13jun2013,1636.36
2013-06-14,14jun2013,1626.73
2013-06-17,17jun2013,1639.04
2013-06-18,18jun2013,1651.8101
2013-06-19,19jun2013,1628.9301
2013-06-20,20jun2013,1588.1899
2013-06-21,21jun2013,1592.4301
2013-06-24,24jun2013,1573.09
2013-06-25,25jun2013,1588.03
2013-06-26,26jun2013,1603.26
2013-06-27,27jun2013,1613.2
2013-06-28,28jun2013,1606.28
2013-07-01,01jul2013,1614.96
2013-07-02,02jul2013,1614.08
2013-07-03,03jul2013,1615.41
2013-07-04,04jul2013,
2013-07-05,05jul2013,1631.89
2013-07-08,08jul2013,1640.46
2013-07-09,09jul2013,1652.3199
2013-07-10,10jul2013,1652.62
2013-07-11,11jul2013,1675.02
2013-07-12,12jul2013,1680.1899
2013-07-15,15jul2013,1682.5
2013-07-16,16jul2013,1676.26
2013-07-17,17jul2013,1680.91
2013-07-18,18jul2013,1689.37
2013-07-19,19jul2013,1692.09
2013-07-22,22jul2013,1695.53
2013-07-23,23jul2013,1692.39
2013-07-24,24jul2013,1685.9399
2013-07-25,25jul2013,1690.25
2013-07-26,26jul2013,1691.65
2013-07-29,29jul2013,1685.33
2013-07-30,30jul2013,1685.96
2013-07-31,31jul2013,1685.73
2013-08-01,01aug2013,1706.87
2013-08-02,02aug2013,1709.67
2013-08-05,05aug2013,1707.14
2013-08-06,06aug2013,1697.37
2013-08-07,07aug2013,1690.91
2013-08-08,08aug2013,1697.48
2013-08-09,09aug2013,1691.42
2013-08-12,12aug2013,1689.47
2013-08-13,13aug2013,1694.16
2013-08-14,14aug2013,1685.39
2013-08-15,15aug2013,1661.3199
2013-08-16,16aug2013,1655.83
2013-08-19,19aug2013,1646.0601
2013-08-20,20aug2013,1652.35
2013-08-21,21aug2013,1642.8
2013-08-22,22aug2013,1656.96
2013-08-23,23aug2013,1663.5
2013-08-26,26aug2013,1656.78
2013-08-27,27aug2013,1630.48
2013-08-28,28aug2013,1634.96
2013-08-29,29aug2013,1638.17
2013-08-30,30aug2013,1632.97
2013-09-02,02sep2013,
2013-09-03,03sep2013,1639.77
2013-09-04,04sep2013,1653.08
2013-09-05,05sep2013,1655.08
2013-09-06,06sep2013,1655.17
2013-09-09,09sep2013,1671.71
2013-09-10,10sep2013,1683.99
2013-09-11,11sep2013,1689.13
2013-09-12,12sep2013,1683.42
2013-09-13,13sep2013,1687.99
2013-09-16,16sep2013,1697.6
2013-09-17,17sep2013,1704.76
2013-09-18,18sep2013,1725.52
2013-09-19,19sep2013,1722.34
2013-09-20,20sep2013,1709.91
2013-09-23,23sep2013,1701.84
2013-09-24,24sep2013,1697.42
2013-09-25,25sep2013,1692.77
2013-09-26,26sep2013,1698.67
2013-09-27,27sep2013,1691.75
2013-09-30,30sep2013,1681.55
2013-10-01,01oct2013,1695
2013-10-02,02oct2013,1693.87
2013-10-03,03oct2013,1678.66
2013-10-04,04oct2013,1690.5
2013-10-07,07oct2013,1676.12
2013-10-08,08oct2013,1655.45
2013-10-09,09oct2013,1656.4
2013-10-10,10oct2013,1692.5601
2013-10-11,11oct2013,1703.2
2013-10-14,14oct2013,1710.14
2013-10-15,15oct2013,1698.0601
2013-10-16,16oct2013,1721.54
2013-10-17,17oct2013,1733.15
2013-10-18,18oct2013,1744.5
2013-10-21,21oct2013,1744.66
2013-10-22,22oct2013,1754.67
2013-10-23,23oct2013,1746.38
2013-10-24,24oct2013,1752.0699
2013-10-25,25oct2013,1759.77
2013-10-28,28oct2013,1762.11
2013-10-29,29oct2013,1771.95
2013-10-30,30oct2013,1763.3101
2013-10-31,31oct2013,1756.54
2013-11-01,01nov2013,1761.64
2013-11-04,04nov2013,1767.9301
2013-11-05,05nov2013,1762.97
2013-11-06,06nov2013,1770.49
2013-11-07,07nov2013,1747.15
2013-11-08,08nov2013,1770.61
2013-11-11,11nov2013,1771.89
2013-11-12,12nov2013,1767.6899
2013-11-13,13nov2013,1782
2013-11-14,14nov2013,1790.62
2013-11-15,15nov2013,1798.1801
2013-11-18,18nov2013,1791.53
2013-11-19,19nov2013,1787.87
2013-11-20,20nov2013,1781.37
2013-11-21,21nov2013,1795.85
2013-11-22,22nov2013,1804.76
2013-11-25,25nov2013,1802.48
2013-11-26,26nov2013,1802.75
2013-11-27,27nov2013,1807.23
2013-11-28,28nov2013,
2013-11-29,29nov2013,1805.8101
2013-12-02,02dec2013,1800.9
2013-12-03,03dec2013,1795.15
2013-12-04,04dec2013,1792.8101
2013-12-05,05dec2013,1785.03
2013-12-06,06dec2013,1805.09
2013-12-09,09dec2013,1808.37
2013-12-10,10dec2013,1802.62
2013-12-11,11dec2013,1782.22
2013-12-12,12dec2013,1775.5
2013-12-13,13dec2013,1775.3199
