datestr,daten,U6RATE
1994-01-01,01jan1994,11.7
1994-02-01,01feb1994,11.4
1994-03-01,01mar1994,11.5
1994-04-01,01apr1994,11.3
1994-05-01,01may1994,10.9
1994-06-01,01jun1994,11
1994-07-01,01jul1994,10.8
1994-08-01,01aug1994,10.6
1994-09-01,01sep1994,10.4
1994-10-01,01oct1994,10.4
1994-11-01,01nov1994,10.1
1994-12-01,01dec1994,10.1
1995-01-01,01jan1995,10.1
1995-02-01,01feb1995,9.8999996
1995-03-01,01mar1995,9.8999996
1995-04-01,01apr1995,10.1
1995-05-01,01may1995,10.1
1995-06-01,01jun1995,10.1
1995-07-01,01jul1995,10.1
1995-08-01,01aug1995,10.1
1995-09-01,01sep1995,10.2
1995-10-01,01oct1995,10
1995-11-01,01nov1995,10.1
1995-12-01,01dec1995,10
1996-01-01,01jan1996,9.8000002
1996-02-01,01feb1996,10
1996-03-01,01mar1996,9.8999996
1996-04-01,01apr1996,10
1996-05-01,01may1996,9.8000002
1996-06-01,01jun1996,9.6999998
1996-07-01,01jul1996,9.6999998
1996-08-01,01aug1996,9.3999996
1996-09-01,01sep1996,9.5
1996-10-01,01oct1996,9.5
1996-11-01,01nov1996,9.3999996
1996-12-01,01dec1996,9.6000004
1997-01-01,01jan1997,9.3999996
1997-02-01,01feb1997,9.3000002
1997-03-01,01mar1997,9.1000004
1997-04-01,01apr1997,9.3000002
1997-05-01,01may1997,8.8999996
1997-06-01,01jun1997,8.8999996
1997-07-01,01jul1997,8.6999998
1997-08-01,01aug1997,8.6999998
1997-09-01,01sep1997,8.6999998
1997-10-01,01oct1997,8.5
1997-11-01,01nov1997,8.3999996
1997-12-01,01dec1997,8.5
1998-01-01,01jan1998,8.3999996
1998-02-01,01feb1998,8.3000002
1998-03-01,01mar1998,8.3999996
1998-04-01,01apr1998,8
1998-05-01,01may1998,8
1998-06-01,01jun1998,8.1000004
1998-07-01,01jul1998,8.1999998
1998-08-01,01aug1998,7.9000001
1998-09-01,01sep1998,8
1998-10-01,01oct1998,7.9000001
1998-11-01,01nov1998,7.6999998
1998-12-01,01dec1998,7.5999999
1999-01-01,01jan1999,7.5999999
1999-02-01,01feb1999,7.6999998
1999-03-01,01mar1999,7.5
1999-04-01,01apr1999,7.6999998
1999-05-01,01may1999,7.4000001
1999-06-01,01jun1999,7.5
1999-07-01,01jul1999,7.5
1999-08-01,01aug1999,7.3000002
1999-09-01,01sep1999,7.4000001
1999-10-01,01oct1999,7.1999998
1999-11-01,01nov1999,7.1999998
1999-12-01,01dec1999,7.0999999
2000-01-01,01jan2000,7
2000-02-01,01feb2000,7.0999999
2000-03-01,01mar2000,7.0999999
2000-04-01,01apr2000,6.9000001
2000-05-01,01may2000,7.0999999
2000-06-01,01jun2000,7
2000-07-01,01jul2000,7
2000-08-01,01aug2000,7.0999999
